StudyHours	AttendanceRate	AssignmentsCompleted	OnlineActivity	SleepHours	SocialActivity	MidtermScore	FinalScore	Cluster
34.6	94.6	56.1	6.3	7.7	3.8	55.4	100.0	0
17.5	85.4	80.9	1.1	7.9	2.4	51.0	68.1	1
14.0	94.1	79.3	5.0	6.5	1.0	55.2	81.4	3
34.4	81.1	80.8	5.1	7.0	0.9	65.5	100.0	0
30.9	82.6	79.4	5.6	6.5	2.5	65.2	100.0	0
25.0	92.1	74.4	4.7	8.3	2.1	76.3	100.0	0
31.4	92.3	58.2	7.7	6.8	3.8	39.1	92.4	3
41.5	93.0	78.9	4.0	6.4	3.9	71.7	100.0	0
23.7	91.1	100.0	7.5	6.1	2.5	56.1	78.0	3
27.7	96.1	76.4	9.4	7.2	4.1	70.0	90.3	0
34.9	84.0	78.1	10.3	5.7	2.1	62.8	100.0	0
18.8	79.9	87.5	10.4	7.8	2.2	44.0	78.5	1
22.5	78.5	72.7	6.9	5.5	3.8	54.7	70.8	1
8.2	91.3	90.4	4.2	5.3	2.4	46.2	62.2	1
26.1	84.4	67.7	14.2	7.3	4.2	73.4	81.1	0
9.9	66.6	84.9	7.5	9.3	0.7	31.1	57.8	1
25.4	96.3	94.6	9.5	8.1	1.8	53.7	100.0	3
31.9	57.4	60.6	7.1	6.7	3.9	60.4	89.5	2
21.2	65.2	72.1	0.0	6.0	3.0	59.8	60.2	2
38.4	90.3	94.3	4.0	5.5	0.7	60.2	100.0	0
34.5	78.6	95.5	5.0	8.1	0.5	62.2	92.0	0
11.3	59.7	74.9	7.3	6.7	1.0	47.6	62.9	1
46.7	92.1	100.0	0.0	7.1	4.3	73.4	100.0	0
24.5	87.5	82.1	5.4	9.2	2.7	61.4	79.9	2
18.0	84.5	34.2	6.0	7.1	3.0	42.1	63.9	1
23.2	89.9	73.0	7.5	5.6	2.6	56.2	98.2	3
24.0	84.7	91.9	5.5	5.9	2.6	62.0	83.5	3
25.8	66.3	73.2	6.6	8.5	3.6	73.2	80.4	2
22.6	100.0	96.5	1.8	7.6	2.4	64.1	86.6	3
30.1	97.0	88.4	7.7	6.6	4.7	56.8	98.1	3
21.9	72.2	65.0	5.0	3.5	1.4	57.0	61.9	2
9.5	81.5	77.9	4.0	6.0	3.8	44.0	59.5	1
23.8	82.6	68.4	9.3	7.4	3.3	52.7	78.3	3
6.1	95.8	82.8	6.7	7.4	4.4	39.9	59.2	1
27.8	63.4	68.3	4.3	7.4	2.7	51.0	73.7	2
17.2	80.0	81.1	4.5	5.4	3.0	41.3	57.9	1
26.3	67.4	75.9	6.9	7.2	3.0	45.1	83.8	2
35.5	82.1	77.7	6.7	5.8	0.7	68.9	86.3	0
17.4	80.3	100.0	6.1	7.0	3.1	47.4	83.8	3
33.5	85.8	74.6	3.0	6.1	7.4	64.4	98.9	0
21.5	79.0	51.0	3.4	8.3	4.9	46.5	79.9	2
39.0	77.5	95.2	4.1	7.4	1.3	70.2	100.0	0
22.1	91.2	95.1	5.5	6.8	0.0	50.0	91.1	3
18.3	89.5	50.3	5.9	8.7	2.6	42.1	77.3	1
30.5	90.5	69.5	5.6	6.6	4.1	73.2	100.0	0
21.5	83.2	86.5	5.7	5.3	2.4	55.2	86.7	3
18.3	79.3	87.9	10.7	8.3	5.3	48.3	80.5	1
21.2	83.8	79.9	8.1	7.3	1.3	52.0	73.1	1
24.6	90.0	80.3	9.0	6.6	2.8	54.3	81.9	3
35.7	63.2	65.9	7.2	6.2	2.3	65.0	93.7	2
25.0	88.9	44.0	6.2	7.6	3.6	33.9	59.7	1
25.2	88.1	100.0	7.0	8.0	3.7	43.6	85.0	3
30.0	85.6	65.5	6.6	6.1	4.3	61.2	85.9	0
26.5	83.5	82.6	8.0	7.7	2.3	44.4	81.3	3
35.5	59.3	77.6	3.6	7.3	4.4	46.2	89.0	2
24.4	80.6	93.5	7.8	6.0	3.0	62.2	69.7	3
23.5	100.0	81.7	6.0	7.0	4.5	58.9	96.5	3
25.0	85.1	82.3	1.5	6.3	4.7	61.4	100.0	0
25.8	81.9	40.5	6.2	8.5	2.5	48.2	74.2	2
21.9	85.2	67.5	2.7	6.2	1.5	64.6	96.8	2
29.1	88.5	91.2	4.7	8.8	2.8	67.7	96.6	0
19.8	91.6	89.8	5.6	7.2	4.0	43.4	68.3	1
20.1	82.7	65.7	2.2	4.9	0.2	51.7	84.2	2
20.8	89.2	56.3	5.9	4.4	1.8	50.9	95.0	3
35.8	100.0	81.9	6.2	6.7	3.5	66.5	100.0	0
0.0	95.1	36.4	7.9	8.6	0.0	47.4	49.0	1
28.2	100.0	62.8	4.9	8.5	0.9	58.3	76.1	3
11.6	100.0	100.0	5.8	6.1	2.4	35.7	67.6	1
27.5	77.1	87.3	6.0	6.5	2.0	52.6	98.3	2
28.8	88.5	84.6	1.8	7.2	2.0	56.9	100.0	0
29.7	92.3	50.7	5.7	8.3	0.5	57.1	87.8	2
3.8	79.9	68.9	7.9	7.7	5.2	40.0	59.0	1
35.9	85.9	75.6	3.7	8.2	1.6	66.0	92.0	0
19.1	94.1	69.2	5.5	7.8	0.0	55.2	81.9	3
30.5	77.9	74.7	5.8	8.1	4.2	66.2	91.1	0
30.9	100.0	99.5	8.8	4.3	1.3	68.7	94.1	3
18.0	71.2	71.9	6.1	5.9	0.7	37.9	65.1	1
30.3	100.0	74.9	6.7	5.7	3.5	63.8	100.0	0
21.9	95.0	91.1	6.0	5.6	1.7	51.1	91.3	3
8.4	84.1	58.7	4.8	7.0	2.8	50.1	62.6	1
34.3	81.0	67.4	3.2	5.3	1.5	72.6	100.0	0
18.8	79.9	68.9	6.0	5.9	1.8	57.4	62.4	1
25.0	83.6	80.8	7.0	6.9	1.0	65.5	83.1	2
21.8	84.5	74.8	6.3	5.1	0.7	59.7	80.8	3
27.2	97.6	75.3	9.7	6.4	7.7	67.5	93.1	0
24.5	100.0	70.0	8.4	7.8	1.3	52.5	83.7	3
29.4	87.0	63.9	9.1	5.5	0.3	59.9	84.7	3
14.3	76.5	89.1	0.9	8.0	4.2	52.4	61.4	1
19.1	79.5	74.9	9.9	6.0	2.9	53.4	69.9	1
24.1	83.2	89.3	6.7	7.3	2.5	48.7	69.5	1
40.2	74.7	63.3	7.0	5.7	1.8	59.4	100.0	0
24.1	73.2	70.0	8.2	7.5	1.9	40.5	78.6	2
33.7	100.0	76.7	6.1	6.6	2.1	68.1	100.0	0
25.3	88.0	78.1	3.3	7.6	4.2	49.5	84.2	3
21.1	76.7	91.3	9.6	6.3	2.1	57.4	76.7	3
23.0	93.2	73.5	4.1	7.7	4.2	61.7	95.8	0
23.7	73.2	91.2	3.5	8.0	2.4	55.4	79.8	2
36.0	77.0	78.4	5.0	6.4	1.0	71.2	100.0	0
27.9	100.0	65.7	6.0	6.7	5.7	69.5	96.6	0
34.5	82.5	91.4	6.0	5.5	2.5	46.5	100.0	3
17.3	60.6	66.1	9.4	7.2	2.5	52.3	62.1	1
21.7	97.1	79.7	7.1	7.7	5.3	59.5	99.0	3
19.2	81.9	79.2	3.9	8.9	3.1	53.9	74.8	2
27.5	66.5	76.9	4.2	8.6	3.3	59.2	77.7	2
22.1	81.8	74.2	5.0	5.8	2.6	51.5	66.2	1
30.8	90.2	67.7	5.0	7.3	1.3	43.7	95.0	2
17.6	89.0	55.7	4.7	6.8	4.3	47.0	70.6	1
25.3	100.0	100.0	3.2	8.5	0.4	45.3	87.0	3
30.5	76.5	72.6	6.7	6.1	1.0	47.0	87.0	2
8.5	85.5	78.1	4.9	8.1	1.3	52.2	61.5	1
42.0	78.0	78.0	3.6	5.8	2.9	64.1	100.0	0
8.8	93.9	100.0	8.1	5.9	0.0	45.7	59.3	1
26.3	89.6	82.4	5.4	4.6	6.0	68.2	80.5	3
25.3	87.8	77.6	10.5	5.9	3.6	57.7	92.4	3
24.3	89.3	63.1	11.5	6.7	1.8	52.2	82.0	3
32.9	78.1	58.3	7.2	8.7	3.2	72.5	100.0	0
31.0	74.9	53.4	4.8	5.7	3.2	55.7	85.9	2
27.4	85.4	68.1	6.7	6.3	2.0	61.5	91.4	0
28.6	96.6	48.6	2.9	5.3	3.1	64.7	100.0	0
24.2	100.0	96.2	3.8	8.4	3.1	48.8	73.2	3
39.2	93.0	86.3	1.8	6.4	4.1	75.2	100.0	0
13.2	85.3	76.2	4.4	6.6	2.6	57.8	75.4	1
26.1	87.7	96.6	2.9	6.6	3.0	49.2	67.5	3
25.5	85.1	63.9	7.6	4.7	2.2	57.1	96.6	3
31.5	74.7	67.7	4.1	5.2	1.8	69.9	100.0	0
18.2	85.2	51.0	6.7	5.9	1.3	39.3	69.4	1
11.1	71.7	91.6	7.9	7.7	1.3	48.7	73.9	1
26.3	83.8	67.8	8.9	4.0	1.8	47.9	77.5	3
27.2	100.0	80.2	5.1	7.6	2.1	58.0	91.5	3
36.9	93.2	95.0	6.8	7.4	4.0	65.1	100.0	0
14.8	75.8	100.0	6.9	4.8	1.9	38.7	68.1	1
25.0	84.3	79.6	9.2	6.6	2.0	56.5	100.0	3
43.9	76.7	85.8	8.0	8.4	2.1	68.9	100.0	0
22.0	84.4	66.4	9.3	5.7	2.4	64.5	73.5	3
14.7	95.4	100.0	1.8	6.3	5.0	53.9	77.2	3
21.7	91.5	77.5	4.3	10.0	1.9	42.7	79.6	1
25.1	100.0	81.2	8.6	7.4	3.3	62.3	100.0	0
29.5	96.9	73.9	7.5	6.7	3.0	62.0	100.0	0
20.3	87.0	98.0	5.7	6.4	2.6	48.5	87.4	3
25.0	91.8	83.0	4.8	7.4	1.1	63.6	100.0	0
16.1	83.0	91.4	8.0	7.8	3.3	53.2	61.4	1
11.1	73.7	85.3	1.1	4.4	0.0	32.6	61.3	1
33.9	98.1	76.7	8.0	4.3	1.0	60.2	99.8	0
6.8	95.1	93.9	6.2	5.8	1.7	35.8	51.4	1
23.4	82.6	85.2	4.8	6.8	2.2	48.9	73.8	1
49.9	87.7	65.6	7.3	7.1	2.6	78.1	100.0	0
24.9	97.4	65.2	5.0	5.0	4.6	58.7	90.8	3
24.6	87.4	100.0	7.9	6.0	2.0	54.5	83.9	3
26.3	83.3	53.3	6.4	6.4	2.0	56.4	88.1	2
30.3	96.1	80.4	1.2	6.1	0.8	49.9	84.1	3
25.0	95.3	87.3	2.5	7.6	0.0	46.6	70.0	3
38.5	98.2	84.4	3.3	7.0	0.6	68.4	100.0	0
27.0	73.8	95.1	7.1	5.6	4.3	58.7	81.9	3
25.0	77.2	89.8	7.4	8.1	1.4	62.3	95.3	2
20.0	96.1	65.2	10.2	5.4	1.7	39.6	66.4	1
35.3	79.1	64.8	3.5	4.9	4.0	58.6	100.0	0
22.9	69.8	84.7	9.3	6.7	0.0	41.2	81.9	2
27.2	90.3	94.9	1.2	6.7	1.6	58.9	92.5	0
17.5	79.5	82.2	6.0	7.1	0.9	46.8	66.7	1
17.0	100.0	56.3	6.6	5.6	2.9	48.1	65.6	1
30.5	88.0	64.3	6.6	8.1	3.3	84.8	100.0	0
21.5	86.6	90.4	5.2	9.1	3.4	46.2	73.8	1
18.2	81.3	74.8	6.3	7.0	4.8	50.7	61.8	1
19.9	100.0	81.8	2.9	7.4	3.3	58.5	79.5	3
30.6	88.6	96.0	8.2	4.5	2.9	63.9	98.1	0
24.1	77.1	73.8	6.9	6.2	0.0	57.3	77.8	2
25.1	84.3	72.2	5.3	6.0	5.8	54.0	71.2	3
9.7	75.2	85.3	5.2	6.2	5.1	43.6	70.7	1
13.2	95.3	91.6	7.3	6.3	2.3	44.3	69.5	1
27.7	66.9	57.8	10.0	5.3	1.4	50.2	68.6	2
19.1	83.6	79.9	2.5	6.4	1.5	42.0	65.2	1
33.5	91.1	93.0	2.4	5.7	2.1	69.7	96.2	0
32.7	88.4	52.2	6.7	7.9	4.3	71.1	99.9	0
30.8	77.8	79.0	5.2	7.4	0.0	55.3	82.0	2
39.6	91.6	61.8	6.3	7.4	5.5	67.8	100.0	0
24.3	76.1	70.4	5.9	8.2	2.5	66.7	80.4	2
30.2	84.8	42.4	7.6	6.0	4.3	68.8	83.4	0
20.3	91.5	100.0	5.3	7.3	0.7	60.7	76.6	3
44.6	89.6	74.7	3.0	8.3	3.6	73.9	100.0	0
40.9	78.2	67.9	4.0	5.9	3.1	62.7	92.8	0
25.1	97.0	84.9	5.6	4.6	3.3	54.5	75.9	3
28.1	85.9	64.4	2.9	6.2	1.5	60.7	85.7	2
35.9	92.4	62.9	5.9	8.1	1.9	69.1	100.0	0
23.8	100.0	100.0	6.2	5.9	0.6	50.6	85.1	3
19.7	96.2	100.0	5.1	6.4	3.6	63.6	59.4	3
32.0	96.2	71.1	6.5	6.1	4.5	74.0	100.0	0
25.6	86.9	96.0	2.0	6.8	2.9	63.2	83.1	3
26.5	92.9	85.3	3.6	5.7	0.0	70.1	100.0	0
18.3	87.1	58.8	3.1	5.2	4.5	56.6	84.0	3
11.3	72.9	66.1	8.2	6.5	2.7	46.4	59.6	1
26.9	88.0	100.0	11.8	6.7	0.0	58.8	87.9	3
32.2	87.6	58.6	3.8	8.3	0.0	59.9	86.6	2
23.2	90.8	100.0	5.4	7.1	0.9	56.0	90.1	3
19.4	77.4	100.0	6.6	6.1	1.0	50.5	68.6	1
16.6	91.6	75.4	6.0	7.9	1.2	42.4	67.5	1
24.5	71.9	92.0	6.7	6.5	3.9	48.1	92.3	2
24.3	99.6	100.0	7.7	5.7	4.3	67.4	93.0	3
31.2	82.7	100.0	2.9	7.1	3.9	69.6	83.6	0
18.8	87.5	71.2	6.7	6.1	0.0	45.9	64.4	1
35.9	90.6	67.1	1.5	7.6	3.9	72.1	100.0	0
40.7	90.9	78.8	5.4	7.4	1.8	64.8	100.0	0
24.7	70.9	60.5	5.2	5.6	5.4	49.2	68.1	1
16.5	88.0	67.7	5.2	6.9	4.3	42.4	63.6	1
33.6	78.6	96.2	4.8	3.8	3.3	48.6	73.6	3
31.9	81.7	53.9	6.6	3.9	1.9	56.7	91.6	3
24.9	72.0	100.0	6.7	8.2	4.3	51.7	65.8	1
1.4	100.0	82.8	6.3	7.1	3.9	28.1	41.5	1
25.0	99.9	80.4	4.6	6.8	2.0	57.5	76.2	3
20.0	89.5	96.4	8.7	6.9	1.8	67.6	83.7	3
17.2	82.8	93.1	9.8	7.6	1.4	52.6	75.3	1
26.0	83.0	68.6	2.8	6.3	3.7	55.3	72.9	2
21.6	92.6	73.3	6.4	6.9	2.9	60.1	80.1	3
18.4	100.0	63.3	4.8	7.0	2.9	54.4	77.3	3
16.5	79.3	58.0	8.3	3.4	2.0	49.7	57.4	1
19.3	73.8	88.7	6.0	7.6	4.7	49.9	73.7	1
25.0	100.0	85.9	6.1	7.8	0.3	67.1	100.0	0
19.7	67.1	91.4	7.2	7.4	3.7	46.8	71.9	1
20.9	74.9	99.2	5.3	7.4	4.0	39.7	59.6	1
21.3	82.5	91.6	10.2	8.8	2.0	67.3	89.3	0
27.7	69.4	93.0	7.3	6.8	0.3	60.2	84.5	2
28.6	96.1	48.8	8.3	6.9	3.1	55.6	99.5	0
0.6	93.6	75.4	5.4	6.1	4.3	42.2	58.2	1
33.2	79.3	94.5	5.7	4.6	5.2	53.3	92.5	3
36.5	97.8	62.5	8.0	7.4	3.5	69.9	100.0	0
16.6	99.5	81.4	7.8	6.2	1.6	57.9	88.5	3
17.2	83.9	87.8	2.9	4.6	3.5	58.2	67.2	3
21.4	80.5	86.6	6.3	6.8	3.3	57.4	69.6	1
19.0	100.0	85.5	7.2	6.8	3.0	52.8	100.0	3
26.8	92.2	89.0	5.7	6.6	1.2	66.6	77.9	3
9.4	87.6	82.7	6.0	7.1	3.4	41.1	52.5	1
16.1	98.6	58.1	5.8	5.0	3.2	54.1	84.4	3
25.0	88.0	87.6	0.4	8.1	6.1	60.7	86.9	0
17.6	79.9	84.3	6.0	7.4	2.6	51.9	79.2	1
34.9	85.8	58.3	8.4	8.4	5.0	75.3	100.0	0
25.0	95.4	100.0	5.4	6.2	4.6	66.0	100.0	0
10.5	65.1	88.0	6.5	7.4	2.6	49.6	60.7	1
30.1	82.1	59.3	6.0	4.7	4.4	68.2	84.3	0
24.1	98.8	67.7	3.9	5.9	1.3	57.3	81.3	3
21.4	79.9	71.5	4.8	5.3	2.2	46.5	85.5	2
25.0	100.0	71.5	6.8	7.2	1.7	46.3	72.7	3
28.8	99.1	84.4	7.1	5.6	2.3	53.3	98.7	3
30.7	84.3	65.4	11.5	6.4	0.0	61.5	80.8	3
28.3	82.1	95.7	10.2	6.4	2.0	59.8	84.1	3
14.0	100.0	89.3	3.8	5.3	3.7	54.2	72.4	3
25.0	100.0	80.7	7.2	8.9	2.9	44.2	90.9	3
48.5	86.3	94.1	6.4	7.0	2.1	80.9	100.0	0
30.8	78.9	75.9	5.7	8.9	0.6	56.8	98.4	2
44.0	86.2	69.1	6.0	5.7	1.1	58.6	100.0	0
36.2	87.4	97.9	4.4	6.4	2.1	52.5	98.5	0
26.9	72.6	84.8	8.3	7.0	1.8	55.7	82.1	2
27.4	85.8	69.7	3.9	8.7	1.0	59.1	78.2	2
24.7	98.2	73.7	6.8	8.9	1.5	58.2	78.7	3
11.1	67.0	69.0	7.9	6.4	3.2	51.2	59.7	1
25.1	93.3	100.0	9.5	6.0	3.8	58.3	84.7	3
34.7	98.7	80.1	8.4	6.9	0.8	61.5	100.0	0
20.2	79.4	82.4	7.4	8.3	1.2	49.7	60.7	1
28.3	100.0	90.8	4.4	7.1	2.8	69.3	91.4	0
31.8	78.1	61.8	4.0	7.3	2.3	52.2	92.1	2
17.7	89.4	96.4	3.2	8.3	2.0	52.9	74.9	1
16.9	81.9	100.0	6.0	8.2	2.8	57.6	78.2	3
25.0	78.8	75.3	4.2	7.7	0.1	51.5	81.3	2
14.7	92.0	95.6	9.0	8.6	1.3	42.6	62.5	1
17.8	93.5	42.5	4.6	5.5	0.0	53.8	86.9	3
36.4	84.4	62.4	6.2	9.7	2.2	70.3	98.0	0
25.0	71.4	75.6	5.3	8.3	0.5	50.0	67.9	2
26.0	89.0	49.5	2.5	6.8	0.0	66.1	87.5	2
21.0	89.2	89.0	8.7	8.3	0.0	44.3	85.7	3
34.4	82.8	84.7	7.7	6.6	5.5	62.1	94.6	0
35.5	100.0	65.1	8.0	7.6	0.5	66.7	100.0	0
31.9	69.4	79.8	7.5	7.7	2.0	65.1	87.5	2
27.4	62.8	92.1	4.1	8.0	2.6	61.8	85.8	2
23.2	77.7	48.5	4.1	6.4	2.7	54.2	71.0	2
15.5	92.1	60.9	7.1	8.1	3.4	47.7	80.7	1
40.5	74.4	75.0	9.9	6.5	2.4	68.0	100.0	0
18.9	75.2	80.4	7.0	7.9	1.8	41.9	79.6	1
30.3	94.5	79.1	8.4	7.0	2.8	58.2	93.7	3
33.5	89.6	93.3	4.7	4.8	2.8	67.8	100.0	0
20.6	88.8	87.2	8.7	6.1	2.6	56.4	99.3	3
33.3	92.8	90.4	5.0	8.0	3.5	58.9	100.0	0
31.1	80.7	59.2	6.6	6.6	1.6	54.6	91.4	2
25.0	81.2	82.2	5.1	8.5	2.2	60.3	90.8	2
21.2	93.1	75.4	8.2	5.5	0.5	49.4	74.9	3
14.7	71.6	100.0	8.3	7.8	2.1	47.9	72.4	1
21.0	63.6	82.6	2.3	6.9	1.5	59.3	72.7	2
26.7	80.7	70.0	9.3	6.7	4.1	67.0	87.5	0
25.5	94.3	92.8	11.9	5.6	0.3	51.3	78.1	3
21.9	87.6	88.4	5.1	7.3	1.8	57.0	85.8	3
9.7	93.6	67.7	5.7	5.8	1.7	48.4	68.5	1
28.8	64.8	74.8	9.1	6.2	3.5	57.9	88.9	2
40.8	88.2	75.0	6.2	6.8	0.6	61.5	100.0	0
29.9	71.5	83.0	10.7	8.2	2.6	60.7	78.4	2
29.6	93.6	90.9	2.6	3.9	3.9	58.3	80.7	3
28.2	83.9	72.6	4.0	6.8	1.2	59.4	95.4	2
25.0	100.0	85.0	7.0	6.6	0.5	56.7	99.2	3
28.2	63.2	99.6	2.0	7.0	3.2	51.9	93.8	2
22.5	98.7	74.6	5.1	6.3	0.4	46.7	83.1	3
18.6	81.1	81.7	5.0	8.2	1.7	53.1	61.7	1
23.0	68.8	59.6	8.4	6.7	2.1	50.0	65.2	1
27.5	79.7	68.5	7.7	7.2	3.4	59.6	81.0	2
22.5	87.8	75.0	1.8	8.1	0.2	52.3	95.8	2
27.5	95.4	64.1	4.3	7.1	2.1	61.7	100.0	0
25.0	100.0	99.8	4.3	5.5	2.5	74.9	96.3	0
31.7	99.2	67.4	5.5	6.5	1.2	59.7	96.6	0
35.3	75.3	91.8	3.3	6.9	2.0	66.4	86.5	0
25.6	96.3	82.8	7.1	5.0	3.8	53.7	76.2	3
14.5	88.9	80.5	4.3	6.1	1.7	48.2	80.4	3
22.2	78.5	100.0	7.5	6.9	2.0	57.0	87.7	3
25.4	82.9	46.1	6.0	9.4	3.8	58.6	82.8	2
10.3	77.9	77.1	3.6	7.4	2.2	49.6	78.6	1
36.1	85.4	63.8	9.5	7.2	4.5	72.1	100.0	0
26.1	77.7	50.6	9.5	9.0	0.0	61.2	88.2	2
28.1	74.7	62.1	6.7	7.7	2.1	64.1	90.0	2
35.9	89.8	80.3	5.4	7.9	3.7	67.0	93.7	0
20.0	91.3	69.1	3.4	6.5	1.4	48.2	85.7	3
29.6	83.1	93.4	8.7	5.5	2.1	65.7	100.0	0
24.1	98.7	76.8	8.1	7.3	4.4	55.0	88.8	3
23.5	82.4	75.1	4.0	9.2	1.3	60.2	75.3	2
18.8	82.0	75.2	6.0	8.8	3.2	42.0	79.8	1
38.3	91.6	78.5	7.1	7.8	3.6	64.8	90.1	0
22.0	83.7	73.7	3.1	6.2	2.6	48.9	71.9	1
30.6	85.8	67.2	4.4	5.1	2.6	63.8	98.8	0
10.0	59.8	94.8	3.4	6.0	1.0	37.1	50.2	1
34.4	85.2	70.6	3.5	7.3	3.6	63.5	89.8	0
33.4	66.7	74.2	4.2	6.4	0.6	59.0	100.0	2
25.8	72.8	86.4	6.0	8.2	3.1	63.0	93.5	2
23.2	71.6	84.8	1.6	5.2	1.7	56.7	87.7	2
28.2	74.6	66.6	7.1	6.8	1.9	59.5	89.3	2
43.3	79.5	91.3	6.0	6.1	2.2	69.6	100.0	0
10.9	80.1	88.1	8.4	8.2	3.2	39.4	74.7	1
31.3	91.6	82.7	6.6	7.7	4.8	55.6	100.0	0
17.7	87.2	73.5	5.1	6.0	2.7	53.4	75.5	3
24.8	66.0	73.9	4.0	8.0	1.4	42.9	95.6	2
23.0	85.8	77.0	8.5	5.1	0.3	54.9	81.9	3
21.6	88.2	61.5	7.2	4.9	4.2	55.2	84.1	3
24.9	81.7	79.4	4.8	5.9	2.8	45.4	90.4	3
15.9	84.4	93.4	8.3	4.6	2.2	49.2	74.8	3
33.2	86.9	93.1	4.9	6.9	2.6	63.0	94.9	0
10.6	92.6	74.3	6.0	6.9	3.6	62.5	76.5	3
29.3	69.3	96.0	4.5	6.5	1.9	57.4	85.4	2
22.4	82.6	100.0	7.3	7.6	1.5	60.7	66.2	3
15.6	100.0	75.3	3.5	6.1	0.5	55.1	87.1	3
26.6	99.2	90.4	5.3	5.4	0.9	61.8	88.5	3
12.5	93.5	46.1	4.4	6.0	2.0	54.7	63.9	1
25.3	90.4	61.1	6.7	5.5	4.1	46.7	92.1	3
13.6	100.0	81.4	7.0	6.3	1.7	49.5	77.3	3
28.7	100.0	64.9	6.0	7.7	2.9	63.6	100.0	0
17.6	83.7	100.0	7.0	4.9	4.2	43.5	69.6	1
21.4	75.3	89.0	2.3	6.6	3.1	52.0	77.8	2
27.4	82.3	94.5	11.5	8.1	5.5	58.6	84.2	3
25.0	100.0	79.6	4.7	8.3	2.6	52.8	74.2	3
24.5	69.3	65.0	8.6	6.2	2.3	47.1	81.4	2
12.9	80.3	72.2	6.5	9.7	1.9	41.1	66.0	1
30.0	70.9	83.8	6.6	5.7	5.5	55.8	98.7	0
39.1	86.2	70.4	3.1	6.7	4.3	70.2	87.8	0
25.7	83.9	90.7	6.1	7.5	5.7	58.4	82.0	3
31.3	65.5	80.1	7.2	10.0	3.2	56.6	81.9	2
10.8	91.2	52.6	5.8	9.2	2.7	40.4	69.2	1
37.0	97.2	100.0	6.3	8.0	3.3	65.0	97.8	0
31.2	81.2	76.8	3.8	6.3	1.1	54.3	86.5	2
21.1	83.6	100.0	5.6	6.8	2.8	30.7	74.5	1
34.9	83.4	89.8	6.0	8.3	2.0	63.6	93.9	0
23.0	86.8	76.9	4.2	7.9	2.0	53.3	76.4	2
21.3	84.6	86.7	6.3	7.1	3.9	63.0	77.2	3
16.5	97.3	95.4	6.6	8.3	2.6	55.5	69.1	3
16.6	81.9	48.7	7.0	5.2	3.9	57.3	91.5	3
16.6	94.0	75.7	6.6	7.3	4.4	52.6	76.2	3
31.1	65.3	93.1	6.4	6.4	1.9	52.2	86.2	2
25.0	87.3	100.0	9.0	8.5	5.4	48.2	68.5	1
25.0	90.0	85.7	3.0	6.7	0.0	47.2	74.1	3
24.7	79.2	82.6	6.8	6.6	2.3	55.7	96.8	2
15.6	77.4	86.8	2.0	7.3	3.4	47.0	70.1	1
15.8	76.3	84.9	9.5	7.3	2.6	53.4	80.8	1
41.9	91.9	98.3	6.6	9.0	4.4	69.1	100.0	0
18.1	73.2	73.7	8.4	7.9	3.1	35.9	61.2	1
22.4	82.3	92.3	8.8	6.5	0.4	51.8	70.5	3
22.1	75.9	61.5	7.0	6.7	0.3	44.5	77.2	2
21.6	70.4	75.7	0.4	6.7	2.2	47.3	79.3	2
32.6	79.8	81.3	6.5	5.9	4.5	77.1	94.2	0
22.6	86.9	75.3	3.3	6.9	1.5	52.4	92.6	2
15.1	69.9	97.0	1.5	8.6	0.0	52.2	64.9	2
35.2	77.6	66.8	7.2	8.6	3.1	60.7	86.1	2
7.0	65.2	94.9	6.7	6.3	0.8	34.8	45.1	1
26.6	83.0	65.5	9.4	4.9	4.3	52.3	83.0	3
40.3	89.1	86.0	6.1	5.5	1.3	71.4	95.8	0
22.2	78.8	75.6	7.9	7.4	3.0	53.0	81.7	2
23.2	93.5	92.4	6.1	7.0	2.9	66.4	80.8	3
27.4	76.3	76.5	8.5	4.9	3.3	55.3	81.1	3
20.5	86.5	100.0	0.9	8.4	1.4	51.3	73.2	2
22.5	79.8	100.0	8.2	6.5	1.1	54.1	91.2	3
22.3	97.2	75.3	6.0	6.4	3.8	60.8	84.5	3
20.0	78.2	73.2	5.6	8.2	3.3	52.6	68.7	1
25.0	81.5	100.0	5.0	7.5	3.0	73.4	100.0	0
28.7	94.5	63.8	5.3	6.9	4.2	80.0	100.0	0
27.0	74.7	79.2	6.7	6.4	3.0	62.6	93.0	2
31.5	85.7	80.3	9.0	7.7	1.9	64.3	99.9	0
22.9	66.8	80.0	4.7	6.5	3.3	37.2	62.2	1
18.8	74.1	53.9	1.7	6.7	3.2	60.6	84.9	2
20.2	88.8	87.4	12.2	5.6	3.2	62.7	85.9	3
25.0	75.1	65.4	7.7	8.4	1.2	66.5	81.2	2
16.5	79.6	100.0	5.0	8.9	1.0	55.3	75.0	2
21.0	89.9	58.2	9.0	7.3	3.8	47.1	74.1	1
20.9	79.2	80.9	8.3	6.4	2.3	45.3	62.0	1
2.8	87.2	47.7	4.8	7.7	0.4	40.8	40.9	1
23.6	89.4	67.4	7.7	6.5	0.5	50.8	100.0	3
38.8	97.4	69.5	8.7	8.4	4.1	75.2	100.0	0
26.0	88.2	100.0	1.7	6.5	2.4	53.4	89.3	3
31.0	100.0	79.4	6.6	5.5	2.6	60.8	100.0	0
25.8	94.1	99.4	6.7	6.9	2.0	60.4	82.3	3
19.7	79.8	74.3	6.7	8.3	0.9	48.1	72.9	1
