DeviceID,DeviceType,ActiveHours,PowerUsage,Temperature,SignalStrength,FirmwareAge,Power6Months,PowerPerHour
1113,Plug,11.54,68.57,61.01,-67.89,6,293784.44,5.9417
1114,Light,11.37,61.96,39.46,-48.74,2,266329.86,5.447
1115,Camera,18.88,45.46,41.39,-68.44,23,193488.77,2.4082
1116,Camera,17.43,80.28,55.79,-25.0,47,346734.88,4.6063
1117,Light,14.7,89.75,52.66,-50.17,44,388758.55,6.1071
1118,Light,17.15,23.88,36.0,-53.54,22,103127.0,1.392
1119,Light,9.31,17.67,50.36,-88.62,44,78702.73,1.899
1120,Plug,8.42,51.17,50.28,-62.06,39,219141.04,6.0779
1121,Camera,16.91,17.38,39.82,-65.12,24,76001.29,1.0275
1122,Light,1.16,41.17,29.24,-57.5,21,178762.49,35.5806
1123,Plug,9.48,52.98,32.55,-51.07,56,226243.13,5.5876
1124,Plug,10.01,77.73,36.18,-52.29,44,336027.6,7.7672
1125,Speaker,11.52,40.73,26.97,-70.31,35,179627.02,3.5347
1126,Plug,9.31,56.94,42.75,-53.27,45,246335.44,6.1172
1127,Plug,19.39,37.22,63.8,-76.16,18,159906.48,1.9192
1128,Plug,10.15,74.17,44.49,-66.41,7,321363.39,7.3112
1129,Camera,18.24,86.66,47.08,-61.51,42,372298.36,4.7497
1130,Speaker,1.04,97.21,38.28,-76.49,45,421871.07,93.584
1131,Camera,13.76,80.83,49.49,-58.64,52,349727.98,5.8745
1132,Light,7.58,46.37,29.75,-43.39,23,201200.41,6.1216
1133,Camera,8.91,43.68,27.7,-72.82,55,188826.61,4.901
1134,Speaker,8.33,64.23,38.99,-53.7,17,276780.54,7.7128
1135,Sensor,3.22,52.18,56.65,-61.85,37,225326.45,16.2235
1136,Sensor,17.27,80.86,47.54,-63.46,60,347687.64,4.6823
1137,Speaker,18.39,53.68,44.15,-40.05,29,231602.22,2.9188
1138,Sensor,5.18,47.55,41.26,-73.48,14,204205.11,9.176
1139,Camera,17.89,8.84,45.06,-53.54,17,37280.54,0.494
1140,Speaker,16.05,53.19,38.65,-47.03,49,228745.36,3.3147
1141,Light,13.46,66.17,40.2,-51.85,16,284322.19,4.917
1142,Camera,7.37,64.17,48.27,-61.2,49,277621.12,8.7038
1143,Plug,12.19,45.99,45.18,-60.05,36,199679.22,3.7732
1144,Plug,19.29,55.94,37.7,-57.57,31,241517.08,2.8998
1145,Speaker,13.07,77.64,32.61,-90.0,36,334284.42,5.9409
1146,Speaker,10.32,51.78,39.15,-46.47,54,222902.59,5.0171
1147,Speaker,11.44,6.85,34.95,-57.34,45,28949.4,0.5987
1148,Camera,12.36,81.32,8.0,-43.15,44,351042.56,6.5785
1149,Plug,9.79,45.54,39.37,-62.96,1,192629.09,4.6522
1150,Light,9.69,65.65,30.29,-58.43,36,284919.22,6.7769
1151,Camera,12.85,93.88,33.51,-56.14,47,406082.57,7.3046
1152,Light,22.42,,49.55,-63.28,31,74004.93,0.7676
1153,Speaker,12.26,58.74,32.3,-56.44,26,251519.51,4.7918
1154,Plug,,47.88,23.81,-66.41,49,205246.34,5.9877
1155,Camera,10.65,69.11,48.38,-69.75,41,299245.78,6.4902
1156,Light,19.08,66.59,32.67,-80.18,16,289413.97,3.4908
1157,Light,8.11,58.33,41.69,-53.81,48,251446.3,7.1955
1158,Sensor,11.49,21.27,44.52,-56.61,49,88843.71,1.8515
1159,Camera,11.07,45.89,30.25,-50.38,17,199099.59,4.1453
1160,Sensor,12.84,69.05,32.03,-37.36,54,298421.28,5.3791
1161,Light,8.47,50.98,38.94,-56.41,29,221020.03,6.02
1162,Plug,7.87,,43.51,-58.16,56,214937.49,6.2926
1163,Sensor,11.59,29.4,44.71,-63.88,6,126247.93,2.5378
1164,Light,11.41,50.19,37.96,-80.15,30,215370.48,4.3997
1165,Light,17.05,19.72,40.39,-35.58,12,86936.05,1.1568
1166,Camera,14.38,63.5,49.78,-72.66,36,275216.0,4.4166
1167,Light,19.01,39.57,38.14,-39.2,17,171301.19,2.0811
1168,Speaker,9.25,54.42,26.26,-54.13,18,237640.01,5.8799
1169,Speaker,13.81,88.71,38.59,-45.16,2,385303.08,6.4243
1170,Sensor,13.84,34.28,27.85,-65.36,34,148593.84,2.4768
1171,Speaker,17.76,52.35,51.07,-62.52,10,225620.1,2.9481
1172,Speaker,7.93,61.03,43.76,-56.89,48,262366.36,7.6985
1173,Speaker,6.32,38.17,35.99,-34.16,8,165950.47,6.0413
1174,Plug,3.28,35.68,37.26,-59.07,8,154388.95,10.8943
1175,Speaker,16.98,47.25,55.55,-71.6,5,205278.69,2.7828
1176,Plug,9.46,34.32,31.91,-65.05,26,148771.67,3.6261
1177,Speaker,12.46,36.79,43.61,-67.36,30,158824.09,2.9515
1178,Camera,15.43,31.5,48.07,-54.58,10,136511.07,2.0417
1179,Sensor,6.7,72.47,39.93,-46.86,58,311463.38,10.8121
1180,Sensor,2.33,35.65,36.94,-59.7,47,153191.03,15.3319
1181,Camera,9.39,47.04,50.41,-55.36,59,200333.42,5.009
1182,Sensor,5.73,32.49,31.93,-54.94,29,139675.79,5.6696
1183,Camera,8.91,31.41,49.79,-47.72,42,132977.79,3.5236
1184,Plug,21.46,64.92,33.4,-74.17,18,280898.27,3.0254
1185,Sensor,10.89,70.72,32.9,-25.0,44,305333.79,6.4914
1186,Plug,14.5,55.89,31.24,-84.45,32,239070.3,3.8535
1187,Sensor,11.76,61.67,49.74,-51.77,30,267557.46,5.2426
1188,Camera,15.92,35.81,34.34,-52.22,53,153509.44,2.2488
1189,Plug,14.28,92.78,45.24,-37.14,47,399607.28,6.497
1190,Plug,10.15,80.99,36.53,-72.75,43,350553.27,7.976
1191,Sensor,15.47,52.19,19.99,-44.47,4,226256.44,3.3733
1192,Speaker,8.14,46.76,41.15,-68.09,20,201832.89,5.741
1193,Camera,10.83,90.69,25.68,-63.93,39,392030.94,8.3761
1194,Light,14.36,52.41,45.96,-66.6,28,226711.59,3.6489
1195,Camera,8.45,14.24,29.48,-50.16,58,61507.4,1.6847
1196,Speaker,5.34,39.61,43.87,-54.48,29,171411.7,7.4193
1197,Light,18.43,75.39,29.78,-62.65,16,324278.81,4.0903
1198,Plug,3.2,67.79,32.44,-47.34,12,292547.4,21.1822
1199,Speaker,8.76,69.08,37.99,-61.35,47,297871.03,7.8905
1200,Sensor,18.47,72.02,26.11,-38.95,11,309475.33,3.9002
1201,Camera,6.46,59.32,25.31,-52.9,59,257227.17,9.1809
1202,Camera,14.37,84.05,41.46,-75.33,53,361795.17,5.8493
1203,Speaker,10.1,35.9,41.23,-55.38,2,155415.53,3.5541
1204,Light,8.38,35.83,32.0,-47.93,22,155990.63,4.2754
1205,Sensor,8.9,15.83,46.2,-41.1,39,68477.91,1.7795
1206,Speaker,13.41,71.58,51.89,-45.71,57,309084.59,5.337
1207,Camera,11.44,64.95,43.81,-68.42,41,278244.27,5.6793
1208,Sensor,14.12,35.2,21.34,-43.64,44,152897.59,2.4928
1209,Plug,14.34,54.7,55.57,-64.18,60,237646.97,3.8156
1210,Sensor,13.76,59.89,52.83,-76.97,20,254945.58,4.3513
1211,Speaker,21.31,51.37,37.92,-64.04,14,220616.16,2.4107
1212,Plug,10.13,69.71,36.86,-43.45,41,301320.84,6.8809
1213,Speaker,,82.79,38.56,-63.64,38,358901.28,7.6132
1214,Light,10.67,62.47,20.95,-39.95,5,269877.32,5.8555
1215,Speaker,9.15,60.54,48.57,-56.6,51,262753.33,6.6165
1216,Plug,12.85,51.88,43.51,-39.06,32,222045.88,4.0375
1217,Camera,13.36,64.61,23.3,-49.52,16,280066.95,4.8348
1218,Plug,8.31,58.87,22.01,-66.39,19,254812.72,7.0868
1219,Plug,13.96,5.0,31.85,-87.02,28,21383.04,0.3582
1220,Light,11.98,52.71,24.14,-51.14,28,225688.47,4.3977
1221,Sensor,20.32,70.66,11.57,-46.66,46,303542.58,3.4779
1222,Camera,7.28,21.82,37.4,-59.73,20,97814.28,2.9988
1223,Sensor,11.23,44.69,31.36,-51.92,15,192786.04,3.981
1224,Sensor,20.01,36.08,9.94,-74.36,28,154111.71,1.8035
1225,Speaker,14.85,81.34,40.43,-72.58,14,351191.56,5.4777
1226,Plug,15.04,30.57,45.14,-53.85,3,132154.7,2.0324
1227,Light,9.65,68.02,48.09,-64.04,50,297505.46,7.0494
1228,Speaker,10.94,17.66,60.2,-61.85,55,73221.59,1.614
1229,Light,10.27,54.34,33.78,-64.18,4,235981.42,5.2911
1230,Speaker,8.06,78.66,49.16,-50.19,27,342128.05,9.7569
1231,Plug,9.5,53.41,44.34,-46.34,15,229035.82,5.6199
1232,Sensor,15.3,73.54,43.81,-62.1,17,319242.3,4.8073
1233,Light,13.68,58.12,43.12,-76.95,27,254203.04,4.2475
1234,Plug,12.56,109.26,22.5,-63.15,42,474602.58,8.6993
1235,Sensor,9.5,71.69,48.64,-54.32,17,310847.74,7.5493
1236,Speaker,16.74,60.4,51.3,-68.56,12,261795.79,3.6072
1237,Camera,12.45,36.87,48.88,-64.31,34,158867.43,2.9627
1238,Camera,15.55,66.76,38.09,-44.74,24,287209.87,4.2939
1239,Light,6.82,56.48,50.17,-62.73,30,244734.38,8.2754
1240,Camera,7.59,47.03,33.03,-87.31,55,202482.42,6.1987
1241,Sensor,7.96,76.96,35.98,-52.72,20,332348.41,9.6645
1242,Plug,11.82,51.49,44.49,-61.54,49,221703.93,4.3571
1243,Camera,14.28,64.19,39.53,-46.1,11,277821.38,4.4964
1244,Light,12.32,83.04,44.25,-68.22,60,357187.03,6.7424
1245,Light,12.13,57.84,41.16,-64.05,12,249520.92,4.7674
1246,Light,9.6,78.03,37.97,-56.74,21,335997.0,8.1266
1247,Plug,3.57,104.05,42.01,-74.0,42,450394.03,29.1867
1248,Light,12.91,73.45,39.67,-56.06,44,319616.88,5.6881
1249,Speaker,15.49,19.38,38.45,-34.9,37,84363.81,1.2512
1250,Plug,11.97,61.47,37.76,-69.39,43,263814.69,5.1375
1251,Camera,11.95,36.69,37.51,-72.75,8,158533.12,3.0714
1252,Camera,7.33,5.0,34.52,-49.43,28,18384.25,0.6819
1253,Plug,3.73,46.08,38.49,-67.9,13,197641.5,12.367
1254,Plug,13.63,62.04,46.49,-64.93,53,269811.17,4.5503
1255,Plug,20.4,94.24,25.08,-59.96,10,407309.24,4.62
1256,Light,16.54,45.75,45.72,-51.73,51,199069.99,2.7662
1257,Camera,20.69,63.74,40.05,-46.82,31,273014.84,3.0805
1258,Plug,12.13,89.06,30.37,-37.46,53,385885.48,7.3421
1259,Light,19.89,44.61,40.38,-90.0,38,193852.28,2.2424
1260,Light,9.69,42.92,33.07,-90.0,50,187554.63,4.4287
1261,Speaker,19.09,53.99,31.44,-61.69,47,233954.7,2.828
1262,Light,19.71,39.41,16.55,-76.94,6,173410.67,1.9998
1263,Light,12.28,12.74,40.78,-73.03,49,54299.18,1.0376
1264,Camera,20.69,78.99,24.6,-74.35,57,339697.71,3.8182
1265,Light,16.36,99.98,55.87,-74.7,57,428053.25,6.1121
1266,Camera,9.95,54.31,43.92,-71.72,53,234879.79,5.4558
1267,Light,9.73,71.27,31.51,-40.29,3,308234.46,7.3272
1268,Camera,9.24,20.61,60.23,-88.07,36,85973.28,2.2316
1269,Camera,11.79,94.11,23.31,-71.52,43,405277.6,7.9835
1270,Camera,7.17,71.28,39.22,-39.05,41,308472.57,9.9473
1271,Light,14.01,33.31,43.4,-46.47,10,144750.87,2.3781
1272,Sensor,7.59,34.82,38.82,-26.74,37,152156.36,4.5887
1273,Light,11.87,60.41,29.7,-64.33,34,259293.28,5.0894
1274,Light,14.16,65.69,22.61,-50.41,13,285212.56,4.6393
1275,Plug,12.77,45.76,31.28,-51.72,27,195707.84,3.5849
1276,Camera,11.85,96.06,42.99,-82.69,56,412550.3,8.1078
1277,Sensor,8.45,77.05,33.39,-77.65,30,331582.41,9.1194
1278,Light,21.95,,32.36,-81.43,55,338464.71,3.6007
1279,Speaker,10.47,65.53,38.93,-60.18,2,282081.82,6.2594
1280,Speaker,8.54,86.89,25.52,-70.08,32,374900.74,10.1797
1281,Sensor,13.09,48.67,30.92,-55.4,58,211171.43,3.7189
1282,Plug,10.03,79.54,42.68,-52.52,26,342470.65,7.9321
1283,Light,15.27,90.1,33.28,-74.8,59,390396.0,5.9022
1284,Camera,15.94,77.0,35.22,-42.29,42,333498.99,4.8319
1285,Plug,16.33,62.24,34.37,-68.25,17,269152.29,3.8109
1286,Camera,21.6,42.36,33.89,-76.55,27,182740.08,1.9612
1287,Light,13.13,57.4,46.69,-33.05,44,248922.68,4.3699
1288,Camera,8.11,32.6,41.42,-50.65,13,141727.72,4.0182
1289,Sensor,12.11,26.51,46.17,-48.8,26,114088.99,2.1898
1290,Plug,13.26,68.4,26.08,-36.9,51,296369.84,5.1567
1291,Plug,9.16,60.17,38.02,-65.31,21,258927.05,6.5658
1292,Sensor,12.31,29.19,40.66,-45.04,58,126626.26,2.371
1293,Light,2.55,62.22,35.7,-54.98,58,270475.38,24.3696
1294,Light,9.3,87.18,41.76,-58.2,9,374474.6,9.3732
1295,Plug,12.36,56.89,39.96,-57.56,46,244289.76,4.602
1296,Sensor,5.66,81.8,20.84,-59.31,28,352902.22,14.4417
1297,Camera,6.29,,35.26,-58.83,17,111347.99,3.9911
1298,Light,9.76,52.98,38.01,-48.76,10,227199.61,5.4298
1299,Light,10.01,74.21,45.41,-58.38,53,321448.64,7.4173
1300,Plug,17.25,78.75,39.75,-63.33,16,340566.81,4.5653
1301,Speaker,14.73,60.66,29.83,-52.31,49,261200.34,4.117
1302,Light,6.52,42.58,48.42,-62.93,23,182785.03,6.5341
1303,Speaker,10.34,74.71,31.55,-58.99,50,322219.41,7.2238
1304,Camera,11.67,69.31,39.03,-57.91,42,297914.29,5.9413
1305,Light,17.46,62.58,31.12,-60.7,37,268456.4,3.5842
1306,Light,12.78,28.17,44.34,-60.44,32,120274.22,2.2039
1307,Camera,9.4,30.56,49.5,-74.01,39,131653.74,3.2504
1308,Plug,20.74,77.64,39.83,-60.5,16,333777.79,3.7432
1309,Plug,11.39,44.57,30.62,-55.08,57,191487.99,3.9133
1310,Camera,8.92,90.73,35.43,-63.03,56,392758.92,10.176
1311,Sensor,14.39,17.34,45.19,-31.47,40,73929.43,1.2048
1312,Speaker,12.24,52.22,28.51,-79.1,50,225910.16,4.2683
1313,Light,14.53,48.46,37.43,-71.4,15,207425.98,3.3357
1314,Light,14.05,43.41,39.35,-52.64,57,187731.83,3.0889
1315,Speaker,14.77,76.75,46.72,-63.2,54,330137.79,5.1952
1316,Light,16.91,57.8,38.52,-63.28,54,247529.97,3.4187
1317,Speaker,6.0,30.17,47.1,-49.85,43,132658.64,5.0275
1318,Sensor,14.88,99.5,37.53,-65.96,24,430726.02,6.6871
1319,Plug,7.37,66.34,47.89,-62.13,12,286389.26,9.0035
1320,Sensor,9.86,66.09,57.51,-60.98,42,286898.1,6.7048
1321,Camera,13.15,18.61,57.0,-31.18,56,77349.24,1.4152
1322,Light,14.51,31.75,36.68,-34.87,43,135225.89,2.188
1323,Camera,17.13,100.3,45.65,-64.03,34,430907.6,5.8538
1324,Light,13.74,85.71,34.1,-70.47,46,371578.37,6.2397
1325,Plug,12.81,23.07,48.06,-70.46,44,98532.51,1.8011
1326,Sensor,13.57,63.16,37.83,-68.18,20,271042.47,4.6547
1327,Speaker,18.8,62.77,24.85,-54.68,15,271957.29,3.3396
1328,Plug,10.02,62.39,21.64,-40.71,53,270571.29,6.226
1329,Light,15.43,12.07,43.33,-61.55,42,52368.7,0.7821
1330,Plug,,80.08,44.05,-55.1,60,346035.55,8.847
1331,Plug,16.62,80.58,38.21,-53.64,39,347926.71,4.849
1332,Light,10.8,12.52,42.25,-46.97,39,55839.5,1.1589
1333,Light,9.16,25.98,46.4,-28.44,2,112252.13,2.836
1334,Speaker,6.27,24.2,31.11,-67.02,34,107188.67,3.858
1335,Light,,38.89,34.97,-60.4,14,169577.91,3.0303
1336,Sensor,18.8,76.04,42.63,-63.26,8,329394.02,4.044
1337,Plug,15.16,28.29,59.71,-66.35,30,120538.81,1.8663
1338,Camera,17.09,21.8,26.33,-81.05,34,94724.7,1.2757
1339,Light,15.24,72.32,49.04,-57.88,22,314083.36,4.7468
1340,Camera,12.94,5.0,38.76,-58.36,47,22888.11,0.3865
1341,Speaker,14.36,75.39,36.13,-59.96,47,325655.59,5.2513
1342,Plug,7.67,78.34,53.98,-61.23,39,336592.5,10.2086
1343,Speaker,13.31,57.15,39.36,-68.42,42,242497.33,4.2932
1344,Plug,17.43,44.84,25.06,-64.32,9,190605.53,2.5729
1345,Light,10.53,61.05,31.83,-86.28,5,265686.11,5.7969
1346,Plug,16.02,78.93,10.74,-51.11,27,340537.85,4.9282
1347,Sensor,16.71,56.35,40.0,-36.94,27,244253.39,3.3721
1348,Camera,16.27,78.81,22.64,-84.92,28,342008.11,4.8429
1349,Light,20.27,91.02,38.57,-25.0,8,394803.76,4.4899
1350,Speaker,15.25,69.13,43.6,-55.93,58,296348.23,4.5322
1351,Speaker,15.4,60.89,39.38,-33.19,31,262245.01,3.9531
1352,Camera,12.92,76.93,28.98,-78.35,28,331918.19,5.9522
1353,Plug,7.1,59.5,36.18,-51.14,10,257117.51,8.376
1354,Plug,7.89,92.58,28.93,-66.87,51,400965.97,11.7318
1355,Plug,11.62,59.19,34.13,-47.6,55,256060.8,5.0945
1356,Plug,11.94,86.43,48.36,-67.69,4,372072.29,7.2404
1357,Plug,13.2,42.66,27.37,-59.26,21,184304.66,3.2304
1358,Camera,14.45,39.97,33.41,-72.18,47,169230.22,2.7658
1359,Speaker,10.3,35.55,42.34,-38.06,9,152566.4,3.4506
1360,Light,8.07,83.43,48.27,-60.57,16,362577.17,10.3383
1361,Plug,12.54,48.08,49.25,-61.24,44,207287.63,3.8355
1362,Light,18.24,32.08,33.62,-25.0,57,136369.11,1.7585
1363,Speaker,14.31,81.62,58.71,-46.73,55,351895.71,5.7023
1364,Speaker,,89.99,44.74,-58.44,24,388311.48,5.4774
1365,Plug,12.36,75.72,31.87,-62.18,41,325767.89,6.1251
1366,Light,4.47,101.02,38.68,-34.51,2,433393.88,22.5743
1367,Light,14.21,62.85,22.29,-53.4,42,270308.85,4.422
1368,Plug,11.13,60.05,39.18,-75.5,5,259559.56,5.3939
1369,Plug,16.73,33.31,45.18,-42.89,1,141191.85,1.9907
1370,Plug,21.02,29.46,25.35,-70.32,1,128354.96,1.4019
1371,Camera,9.47,54.96,39.16,-70.16,38,236635.23,5.8005
1372,Light,11.93,56.44,38.43,-35.17,14,244405.32,4.7317
1373,Light,12.27,41.28,38.94,-41.71,33,179093.08,3.3649
1374,Plug,11.0,34.73,42.58,-70.68,58,150003.8,3.1568
1375,Plug,10.24,24.06,51.38,-58.56,29,104476.84,2.3484
1376,Light,15.83,47.18,30.15,-50.14,1,205344.12,2.9805
1377,Plug,13.75,46.41,34.15,-56.27,7,199130.37,3.3755
1378,Plug,3.79,18.96,26.82,-74.47,14,83420.98,5.005
1379,Light,10.56,23.68,31.27,-45.76,5,102726.08,2.2432
1380,Sensor,12.46,59.74,35.15,-62.94,4,257604.03,4.7927
1381,Speaker,6.6,34.26,32.86,-77.84,10,150653.78,5.1914
1382,Speaker,10.65,64.12,44.38,-57.03,15,276335.8,6.0186
1383,Plug,10.08,51.18,18.25,-61.03,1,221679.49,5.0794
1384,Sensor,13.22,63.5,34.51,-57.72,18,274351.55,4.8038
1385,Camera,10.44,36.15,32.67,-57.84,2,157594.94,3.4628
1386,Light,7.39,20.85,38.32,-51.72,57,89800.39,2.8207
1387,Camera,10.22,51.01,32.95,-57.66,33,220881.02,4.991
1388,Speaker,18.21,85.96,30.29,-57.98,50,371064.28,4.7207
1389,Plug,8.8,52.23,22.7,-52.9,36,229303.99,5.9345
1390,Camera,20.69,91.96,40.25,-47.11,48,395324.96,4.4452
1391,Camera,7.18,102.24,39.74,-66.96,49,443930.78,14.2448
1392,Plug,4.72,43.84,38.64,-32.08,47,191490.28,9.2967
1393,Plug,13.87,34.92,31.42,-47.94,6,150487.74,2.518
1394,Sensor,15.45,70.35,48.33,-58.65,55,302882.61,4.5531
1395,Sensor,16.67,30.04,36.46,-50.31,11,129720.12,1.8021
1396,Light,11.07,57.75,40.46,-44.05,18,249241.51,5.2192
1397,Plug,15.82,37.24,41.87,-50.57,17,156318.64,2.354
1398,Sensor,8.46,33.69,39.25,-48.18,59,148112.14,3.9833
1399,Speaker,15.05,65.3,31.83,-65.45,57,283665.19,4.3385
1400,Sensor,11.3,86.46,44.45,-25.0,55,372218.56,7.6502
1401,Plug,13.49,69.09,30.56,-50.39,12,298254.61,5.1226
1402,Speaker,16.76,18.58,36.56,-65.84,25,79130.87,1.1091
1403,Camera,19.79,41.05,33.53,-42.77,6,177739.11,2.0739
1404,Plug,11.04,46.53,34.64,-72.54,3,200920.81,4.2155
1405,Light,11.03,86.95,45.72,-61.67,53,377416.95,7.8812
1406,Speaker,11.66,7.99,25.65,-41.22,6,35969.72,0.685
1407,Camera,6.74,76.74,51.21,-65.47,24,330350.57,11.3886
1408,Light,18.56,58.13,52.6,-73.35,16,252976.66,3.1325
1409,Light,11.95,26.15,36.66,-33.39,19,114480.74,2.1883
1410,Plug,13.24,45.85,30.97,-50.07,51,199466.21,3.4636
1411,Light,10.16,26.41,39.78,-61.69,28,114298.77,2.5981
1412,Sensor,4.8,38.8,29.05,-58.35,28,166559.33,8.0767
1413,Speaker,13.57,57.49,21.01,-46.25,18,248705.38,4.2379
1414,Plug,15.0,47.61,35.1,-60.17,6,206465.22,3.1727
1415,Plug,7.01,64.58,55.79,-38.12,59,277074.1,9.2087
1416,Plug,20.86,11.55,44.68,-74.72,11,48353.53,0.554
1417,Light,15.68,39.07,43.38,-71.07,26,169880.24,2.4913
1418,Speaker,6.22,44.38,28.09,-56.86,1,192435.06,7.1399
1419,Light,10.25,49.11,44.02,-51.82,39,211450.69,4.7917
1420,Light,10.38,41.59,40.71,-46.46,49,178626.05,4.0047
1421,Sensor,9.37,52.38,44.88,-50.17,52,223934.12,5.5905
1422,Light,9.59,64.3,38.45,-77.61,46,278547.85,6.7039
1423,Camera,13.57,20.96,22.03,-55.69,36,94641.38,1.5447
1424,Sensor,4.42,84.13,47.8,-52.85,40,365163.88,19.031
1425,Sensor,12.64,57.88,47.96,-64.86,52,250102.16,4.5782
1426,Plug,8.6,5.0,37.44,-47.54,42,22017.92,0.5813
1427,Camera,14.16,97.97,35.09,-36.29,34,423336.56,6.9189
1428,Plug,16.71,18.1,24.08,-52.27,50,79113.1,1.0833
1429,Speaker,19.04,95.79,45.24,-68.35,56,412102.48,5.031
1430,Speaker,11.3,66.54,54.18,-76.78,36,288880.62,5.8891
1431,Sensor,10.89,72.05,34.62,-59.11,7,312429.33,6.6141
1432,Light,8.72,83.82,27.46,-52.04,52,359453.52,9.6075
1433,Plug,17.66,74.58,33.13,-50.95,40,319551.03,4.2223
1434,Sensor,10.2,59.32,56.92,-60.65,25,254419.82,5.8161
1435,Plug,13.44,59.69,46.7,-42.05,7,256731.72,4.4418
1436,Plug,11.25,70.68,32.33,-65.81,4,305889.15,6.2799
1437,Camera,8.94,73.7,36.86,-55.41,22,318522.2,8.2456
1438,Light,8.94,77.54,62.87,-41.55,34,333667.87,8.6707
1439,Speaker,12.6,26.92,52.6,-51.01,47,120086.3,2.1362
1440,Camera,15.22,65.3,39.43,-58.42,29,283619.7,4.2905
1441,Light,18.12,5.0,50.44,-57.86,49,20130.19,0.276
1442,Plug,14.11,69.45,35.74,-56.59,6,299915.55,4.9224
1443,Light,18.31,57.6,29.31,-45.87,22,249864.56,3.1461
1444,Light,10.09,86.45,39.56,-68.61,12,374571.08,8.5642
1445,Plug,10.93,44.73,34.07,-61.27,5,193349.47,4.0944
1446,Sensor,18.5,46.48,31.28,-47.9,46,202536.42,2.5122
1447,Speaker,17.38,12.65,46.57,-60.26,25,56138.64,0.728
1448,Plug,,60.64,44.47,-59.73,27,259718.64,3.5349
1449,Speaker,11.68,40.48,22.14,-63.75,13,175155.62,3.4649
1450,Plug,11.39,101.67,36.86,-65.05,50,438880.59,8.9252
1451,Light,16.92,78.4,34.46,-60.63,55,340067.01,4.6342
1452,Light,10.51,73.41,37.99,-31.63,3,319522.38,6.9851
1453,Sensor,5.96,55.81,36.46,-55.7,47,240495.52,9.3636
1454,Light,12.38,66.12,45.41,-74.35,42,284927.99,5.3384
1455,Plug,10.88,43.04,27.88,-43.05,23,187585.16,3.9566
1456,Plug,19.48,85.02,43.86,-55.11,37,367965.38,4.3641
1457,Camera,8.72,36.5,40.65,-44.43,29,160418.72,4.1839
1458,Light,7.54,51.78,30.29,-87.05,34,225727.52,6.8703
1459,Camera,12.86,63.6,28.16,-63.5,57,273052.42,4.9453
1460,Plug,12.64,48.04,39.71,-67.04,56,206958.32,3.7991
1461,Light,13.11,27.02,27.28,-87.67,32,117461.13,2.0614
1462,Sensor,7.56,47.06,46.76,-51.97,35,202269.49,6.2223
1463,Sensor,9.35,39.17,41.63,-50.84,1,168138.43,4.1906
1464,Light,16.11,37.94,19.13,-51.32,17,163841.31,2.3552
1465,Light,15.63,66.58,43.36,-26.18,16,288225.53,4.2594
1466,Sensor,17.67,67.94,35.63,-42.2,21,291736.45,3.8448
1467,Light,11.57,60.11,28.83,-58.34,59,259734.06,5.1941
1468,Plug,16.8,38.89,44.65,-59.23,20,168358.91,2.3145
1469,Sensor,9.75,63.37,47.32,-41.86,41,273406.69,6.4966
1470,Plug,15.04,53.91,28.32,-60.22,30,233405.36,3.5857
1471,Sensor,12.55,51.21,30.72,-61.94,31,220588.76,4.0793
1472,Camera,20.16,29.45,49.84,-59.08,7,128478.71,1.4607
1473,Plug,10.74,59.45,30.44,-70.79,14,255983.03,5.5369
1474,Sensor,11.1,70.6,22.53,-44.88,60,304687.11,6.3605
1475,Sensor,6.57,44.95,41.41,-36.28,13,194492.24,6.8417
1476,Speaker,8.57,38.37,42.85,-58.48,47,164898.19,4.4756
1477,Plug,11.44,47.19,40.24,-58.63,14,200931.07,4.1242
1478,Plug,11.35,68.92,32.92,-67.5,30,299335.74,6.0707
1479,Sensor,6.08,76.25,33.73,-64.78,41,328562.22,12.5375
1480,Plug,9.16,64.43,28.3,-55.26,12,279695.15,7.037
1481,Camera,9.69,60.95,25.31,-68.05,4,265738.13,6.2877
1482,Sensor,2.03,52.46,53.84,-54.1,11,227622.39,25.7949
1483,Sensor,5.76,74.66,24.65,-41.94,36,324736.16,12.957
1484,Plug,7.66,21.98,38.45,-74.04,15,94594.45,2.8682
1485,Light,9.25,27.47,40.82,-64.88,47,118682.45,2.9701
1486,Light,6.52,66.58,20.1,-49.68,58,286206.11,10.2038
1487,Light,17.62,106.16,30.15,-67.52,47,458814.95,6.0249
1488,Plug,11.93,71.15,44.44,-74.45,32,310123.01,5.964
1489,Light,17.19,5.0,40.47,-70.29,33,22346.51,0.2908
1490,Plug,11.26,31.6,41.36,-48.73,48,136102.78,2.8064
1491,Sensor,4.74,93.56,39.42,-80.93,43,401556.96,19.7393
1492,Sensor,13.64,59.34,38.41,-35.92,42,252343.04,4.3503
1493,Plug,17.74,73.41,13.19,-49.26,32,316310.51,4.1374
1494,Speaker,17.92,59.89,44.04,-61.37,51,260175.78,3.342
1495,Sensor,20.4,54.09,47.11,-50.92,49,234482.21,2.6517
1496,Speaker,,,50.14,-71.69,11,324453.36,7.2259
1497,Light,12.01,53.32,24.58,-40.97,5,230638.82,4.4385
1498,Plug,15.04,14.19,60.52,-70.6,26,59660.95,0.9433
1499,Sensor,9.41,38.03,23.94,-69.13,54,162863.36,4.04
1500,Camera,4.95,66.3,36.55,-70.38,23,289257.27,13.4081
