DeviceType	ActiveHours	PowerUsage	Temperature	SignalStrength	FirmwareAge	Cluster
Sensor	8.22	27.19	33.81	-78.88	35	1
Camera	13.53	34.92	39.25	-59.99	12	2
Speaker	13.25	58.54	43.08	-70.88	39	3
Camera	9.62	67.62	30.74	-70.7	13	2
Plug	17.55	68.11	40.6	-53.54	37	0
Speaker	7.66	56.5	40.06	-41.9	34	3
Plug	5.56	10.47	25.44	-72.74	52	0
Plug	8.3	66.4	47.01	-50.05	37	0
Camera	11.82	48.55	32.84	-67.12	11	2
Speaker	17.02	72.62	31.71	-58.25	55	3
Camera	11.89	25.94	44.26	-65.12	29	2
Camera	12.22	57.81	27.31	-66.74	45	2
Camera	10.31	91.97	33.7	-53.26	12	2
Plug	17.96	57.77	31.1	-46.23	7	0
Plug	12.2	62.24	34.45	-52.47	48	0
Light	16.11	84.74	32.63	-47.07	48	4
Camera	13.43	87.45	39.79	-65.32	50	2
Light	13.1	70.53	60.55	-54.43	16	4
Speaker	21.48	36.08	52.36	-57.18	8	3
Camera	9.08	72.63	48.2	-56.77	53	2
Sensor	13.27	57.06	37.52	-45.56	22	1
Light	7.77	45.24	36.69	-25.0	30	4
Camera	13.53	5.0	27.38	-70.28	20	2
Sensor	6.79	50.78	34.28	-48.86	22	1
Plug	16.07	62.05	31.29	-58.74	18	0
Plug	12.7	23.69	42.4	-65.94	32	0
Speaker	9.89	65.88	33.77	-68.16	43	3
Camera	11.78	58.57	31.36	-68.18	25	2
Sensor	21.19	45.76	43.85	-53.76	30	1
Camera	5.18	60.53	32.59	-81.78	28	2
Plug	14.38	76.61	41.43	-71.4	6	0
Light	20.33	48.05	23.71	-64.03	22	4
Light	9.34	63.53	44.23	-45.31	53	4
Plug	4.05	32.49	23.16	-49.25	25	0
Light	9.48	53.02	34.94	-77.08	2	4
Sensor	7.45	45.76	51.88	-58.55	60	1
Light	16.34	54.825	12.55	-32.17	28	4
Sensor	12.32	59.63	45.81	-46.23	1	1
Camera	18.03	65.32	22.22	-44.54	8	2
Plug	11.96	77.33	43.74	-64.92	39	0
Light	15.31	59.11	10.32	-82.22	41	4
Camera	2.48	44.63	58.28	-59.6	32	2
Speaker	9.88	34.16	29.14	-45.12	36	3
Speaker	10.88	31.13	42.66	-56.5	24	3
Light	16.48	33.9	44.93	-62.98	18	4
Light	11.95	41.21	30.59	-81.79	40	4
Light	5.2	28.21	50.42	-56.39	22	4
Camera	13.59	73.9	46.29	-66.76	6	2
Light	7.12	26.46	33.74	-62.41	51	4
Plug	15.28	67.73	39.24	-59.11	19	0
Plug	13.13	68.4	37.27	-60.35	54	0
Camera	9.97	77.73	49.3	-74.83	14	2
Light	14.84	99.03	43.13	-47.52	9	4
Plug	13.07	108.46	38.49	-68.58	40	0
Speaker	7.9	38.13	44.61	-51.41	28	3
Camera	12.18	48.51	38.05	-61.94	30	2
Plug	17.75	31.47	22.23	-52.25	46	0
Speaker	19.34	11.82	40.62	-64.1	55	3
Speaker	5.8	75.36	43.33	-57.7	47	3
Light	6.56	31.9	55.33	-55.54	38	4
Light	13.26	26.08	42.58	-49.94	11	4
Light	8.44	58.24	40.3	-50.31	57	4
Plug	11.51	39.93	52.3	-48.89	25	0
Camera	7.46	59.48	31.61	-71.75	47	2
Light	15.64	61.69	54.88	-51.21	41	4
Camera	12.54	54.87	47.89	-48.55	34	2
Light	9.63	78.8	49.2	-74.19	25	4
Sensor	11.56	54.45	42.03	-54.88	19	1
Light	8.83	53.54	29.51	-44.07	22	4
Light	12.99	74.74	47.49	-56.09	30	4
Light	11.58	54.63	33.35	-54.98	8	4
Plug	13.59	76.77	24.36	-66.72	17	0
Sensor	15.53	100.78	43.52	-63.11	20	1
Camera	7.02	37.16	30.35	-66.59	51	2
Camera	19.29	34.06	39.77	-54.43	57	2
Light	18.24	35.49	52.75	-54.44	54	4
Light	15.56	83.09	35.01	-49.47	47	4
Speaker	14.94	59.61	17.82	-55.39	41	3
Camera	11.96	40.63	52.14	-55.92	23	2
Sensor	16.43	49.99	42.73	-69.19	28	1
Light	6.38	28.04	57.0	-43.57	31	4
Plug	15.5	5.98	12.51	-61.08	12	0
Camera	13.56	55.29	25.78	-56.34	15	2
Sensor	11.4	71.94	34.78	-66.8	6	1
Light	9.63	13.77	40.16	-49.39	29	4
Light	9.39	57.6	36.89	-68.19	15	4
Light	12.95	44.46	25.62	-39.49	50	4
Speaker	9.39	73.78	38.5	-68.36	52	3
Plug	15.43	58.9	27.47	-71.92	58	0
Light	7.84	36.41	33.41	-49.56	1	4
Plug	12.83	60.52	35.78	-41.85	46	0
Camera	13.75	58.12	37.27	-79.52	40	2
Plug	11.63	43.64	53.67	-50.49	26	0
Speaker	16.67	46.33	49.86	-53.66	15	3
Plug	8.39	92.8	40.47	-57.41	41	0
Light	10.66	47.49	54.91	-57.22	16	4
Camera	14.67	89.95	36.55	-44.91	42	2
Camera	13.61	45.84	21.21	-46.67	2	2
Speaker	16.87	88.83	30.71	-66.1	3	3
Plug	7.09	77.77	43.31	-80.52	44	0
Sensor	14.09	59.71	50.35	-52.42	13	1
Plug	4.77	59.11	45.89	-65.24	22	0
Sensor	15.39	37.63	29.11	-76.55	49	1
Camera	16.8	67.92	52.54	-54.32	20	2
Plug	18.74	64.59	44.45	-65.03	4	0
Light	16.63	19.02	38.53	-33.85	46	4
Speaker	9.36	72.24	30.88	-44.74	5	3
Camera	7.19	78.77	51.87	-44.53	9	2
Camera	13.18	57.81	41.85	-64.29	8	2
Camera	12.76	46.28	30.82	-59.96	20	2
Light	14.77	51.94	30.23	-66.62	33	4
Sensor	9.95	66.34	34.84	-52.67	35	1
Speaker	11.96	53.85	25.63	-42.58	38	3
Plug	2.68	49.61	22.72	-39.7	40	0
Light	7.19	63.58	32.47	-79.64	3	4
Sensor	14.27	57.47	44.81	-75.25	26	1
Sensor	9.7	50.95	22.97	-54.46	24	1
Light	11.32	90.82	32.85	-60.53	49	4
Camera	6.09	39.68	34.8	-80.98	56	2
Sensor	5.12	26.57	14.47	-71.31	53	1
Sensor	5.29	16.47	19.1	-45.21	14	1
Camera	10.56	53.57	35.17	-60.19	49	2
Speaker	16.87	42.06	41.26	-72.02	32	3
Light	8.97	32.86	48.39	-48.65	22	4
Plug	15.36	73.15	47.68	-72.98	30	0
Light	9.19	48.35	48.98	-45.27	55	4
Speaker	14.75	31.78	31.62	-47.04	5	3
Light	9.63	67.72	44.39	-70.61	47	4
Light	11.96	35.58	44.65	-56.51	29	4
Speaker	12.51	38.51	35.08	-46.78	59	3
Plug	8.33	47.09	44.93	-58.7	36	0
Light	16.24	76.65	46.45	-51.29	16	4
Sensor	11.85	51.48	16.98	-55.94	43	1
Camera	9.79	54.825	47.01	-45.84	35	2
Plug	14.18	43.29	38.55	-52.36	11	0
Plug	10.54	34.04	34.52	-43.9	4	0
Plug	11.72	67.43	45.88	-49.64	49	0
Light	9.88	44.03	46.86	-62.5	58	4
Sensor	11.96	63.54	24.0	-47.12	51	1
Light	11.81	49.32	41.16	-75.65	29	4
Speaker	6.78	63.26	22.93	-55.52	25	3
Light	18.33	47.82	27.69	-64.19	42	4
Plug	7.81	32.82	45.21	-70.43	26	0
Light	10.78	61.23	30.92	-45.91	27	4
Sensor	7.61	62.81	29.95	-52.27	36	1
Light	11.69	74.12	33.57	-67.62	28	4
Camera	13.17	30.83	46.3	-48.26	9	2
Sensor	12.77	14.83	24.13	-51.42	9	1
Light	14.65	56.99	25.91	-48.46	22	4
Sensor	11.22	44.81	44.67	-59.2	36	1
Camera	17.42	73.31	25.41	-54.15	43	2
Camera	15.04	64.58	25.9	-65.95	24	2
Speaker	9.02	39.28	39.49	-69.01	5	3
Plug	17.67	34.57	48.6	-51.11	50	0
Light	11.41	55.36	29.44	-72.18	26	4
Sensor	13.63	61.12	49.43	-63.66	35	1
Speaker	8.37	92.84	29.39	-50.68	56	3
Plug	15.51	47.02	27.87	-74.52	41	0
Light	3.25	29.11	41.89	-70.78	59	4
Light	9.44	51.34	32.72	-66.28	16	4
Light	10.11	98.65	46.59	-49.37	45	4
Speaker	6.14	62.13	48.96	-85.87	60	3
Camera	8.7	61.57	39.39	-51.9	45	2
Plug	17.93	77.33	57.57	-64.37	59	0
Sensor	19.94	44.26	41.87	-55.7	1	1
Light	12.31	23.13	41.12	-65.98	21	4
Camera	11.3	81.71	29.32	-77.27	34	2
Light	7.85	88.32	51.87	-42.54	21	4
Camera	5.05	36.52	30.68	-44.96	25	2
Light	10.66	29.96	56.64	-65.59	28	4
Speaker	16.6	10.89	38.15	-69.89	44	3
Light	10.19	61.06	43.78	-62.49	43	4
Speaker	7.7	45.06	44.59	-78.23	48	3
Plug	10.83	54.43	37.51	-53.73	39	0
Sensor	9.45	62.57	40.81	-61.79	49	1
Sensor	21.13	62.29	33.9	-25.0	10	1
Sensor	15.78	71.89	46.85	-56.11	21	1
Sensor	11.37	7.09	37.09	-52.71	49	1
Camera	17.04	41.59	25.9	-62.15	32	2
Camera	11.89	25.25	39.9	-78.07	17	2
Camera	13.02	47.39	28.35	-57.15	60	2
Camera	8.19	98.8	19.54	-68.37	55	2
Plug	3.71	60.67	36.46	-68.06	22	0
Camera	15.55	69.66	24.89	-73.06	50	2
Speaker	8.07	82.5	32.18	-51.53	5	3
Light	17.89	16.42	32.52	-39.32	30	4
Light	12.11	40.59	41.19	-58.07	57	4
Light	11.96	75.21	43.43	-72.95	12	4
Plug	8.45	47.93	39.91	-73.65	59	0
Light	12.85	69.52	41.51	-49.73	36	4
Camera	17.47	52.55	27.23	-70.97	12	2
Speaker	13.06	41.54	32.28	-69.67	19	3
Speaker	11.9	99.63	43.26	-58.59	34	3
Sensor	2.52	60.07	31.1	-62.3	14	1
Plug	9.67	65.3	31.53	-71.02	53	0
Light	12.4	76.31	42.44	-90.0	53	4
Speaker	17.97	30.71	45.77	-59.04	2	3
Sensor	15.55	46.06	35.47	-43.62	46	1
Sensor	7.24	20.97	24.1	-48.8	36	1
Light	10.49	63.54	38.37	-58.85	23	4
Plug	13.68	33.83	45.14	-75.7	35	0
Sensor	13.73	77.07	29.4	-65.08	27	1
Plug	7.11	30.29	37.57	-58.15	43	0
Plug	12.08	52.27	28.98	-58.59	55	0
Speaker	15.07	27.2	41.12	-57.92	60	3
Plug	16.65	40.65	28.35	-48.85	39	0
Camera	11.17	43.45	28.76	-55.52	23	2
Plug	3.87	65.94	17.99	-71.55	58	0
Camera	12.75	46.79	45.76	-44.52	21	2
Sensor	12.0	39.56	32.76	-42.62	33	1
Speaker	13.54	72.1	40.18	-60.23	26	3
Camera	15.89	36.34	27.12	-70.42	38	2
Sensor	5.73	54.83	42.16	-67.22	51	1
Camera	14.01	68.29	32.69	-34.6	36	2
Sensor	14.66	102.66	25.4	-33.72	7	1
Light	9.63	20.62	27.84	-75.9	54	4
Light	12.39	5.0	32.49	-62.74	60	4
Plug	13.74	25.13	33.76	-37.55	4	0
Light	18.72	28.61	29.6	-83.61	51	4
Plug	14.52	36.16	38.01	-76.61	30	0
Sensor	6.17	41.13	22.71	-67.79	31	1
Plug	1.65	18.73	52.49	-44.51	60	0
Speaker	16.55	47.83	38.99	-49.14	30	3
Plug	14.36	49.6	37.84	-60.76	35	0
Sensor	1.27	69.89	39.83	-64.69	7	1
Light	11.96	56.39	37.38	-65.25	16	4
Speaker	15.67	42.65	38.97	-46.76	18	3
Camera	11.39	74.04	41.64	-55.47	2	2
Light	16.27	24.17	24.06	-53.63	34	4
Light	1.01	50.48	25.86	-52.5	5	4
Plug	12.97	38.2	44.12	-47.41	15	0
Light	8.02	46.4	20.78	-54.7	4	4
Light	14.35	76.6	31.79	-44.29	7	4
Speaker	5.71	59.76	41.86	-35.82	45	3
Speaker	11.73	44.76	30.99	-71.33	29	3
Sensor	9.79	47.67	46.82	-58.89	18	1
Sensor	12.54	53.46	31.11	-72.61	40	1
Speaker	17.89	41.94	32.83	-41.65	25	3
Plug	17.81	20.55	58.18	-61.54	29	0
Camera	7.62	28.52	54.18	-57.26	48	2
Camera	7.47	53.99	32.39	-50.11	4	2
Sensor	9.15	34.07	39.69	-55.38	50	1
Plug	2.18	29.69	40.76	-59.44	46	0
Camera	18.84	34.01	41.63	-73.8	51	2
Light	19.46	50.01	35.23	-41.36	33	4
Light	14.39	51.31	46.39	-56.73	43	4
Plug	13.05	53.12	31.23	-51.18	14	0
Plug	9.29	16.15	32.29	-67.59	13	0
Sensor	7.7	42.11	54.95	-50.7	54	1
Plug	10.15	54.6	46.19	-48.79	9	0
Camera	10.56	70.57	25.54	-42.88	9	2
Plug	12.94	44.28	27.49	-54.87	55	0
Sensor	10.61	22.77	34.06	-73.28	8	1
Light	15.26	31.33	35.54	-68.97	51	4
Plug	11.54	61.13	28.56	-46.08	6	0
Camera	6.61	89.15	55.79	-57.95	15	2
Light	11.95	86.21	39.21	-42.44	57	4
Plug	7.0	72.08	19.04	-55.88	24	0
Plug	10.52	39.56	39.25	-53.99	40	0
Camera	13.89	55.62	44.92	-67.56	57	2
Sensor	12.83	59.32	38.81	-53.96	58	1
Speaker	10.96	81.57	29.73	-72.9	37	3
Plug	11.93	84.28	31.26	-54.85	6	0
Speaker	16.54	60.98	30.38	-52.5	22	3
Camera	9.04	92.39	53.36	-50.86	1	2
Light	12.32	45.47	50.54	-53.14	20	4
Speaker	12.25	40.5	31.93	-83.66	30	3
Plug	12.79	51.96	44.65	-74.53	29	0
Plug	8.4	28.81	30.93	-71.92	23	0
Sensor	2.65	20.3	32.96	-44.63	7	1
Sensor	7.38	46.7	39.77	-52.71	25	1
Sensor	6.76	53.68	40.99	-58.53	31	1
Camera	8.12	32.65	23.92	-53.0	56	2
Sensor	20.49	44.85	44.1	-60.84	30	1
Camera	9.56	37.68	39.45	-64.7	10	2
Camera	13.3	88.63	32.57	-75.73	25	2
Light	11.04	58.41	34.95	-65.18	41	4
Speaker	13.19	29.18	34.74	-73.06	36	3
Plug	11.96	15.17	45.26	-45.58	52	0
Camera	12.74	54.37	46.18	-61.58	12	2
Speaker	10.59	67.39	40.65	-51.2	3	3
Speaker	8.39	36.37	51.53	-48.02	1	3
Speaker	10.76	37.87	33.98	-75.28	16	3
Speaker	19.47	35.28	34.02	-48.22	5	3
Sensor	12.4	57.34	23.92	-73.5	32	1
Camera	12.15	26.08	46.66	-55.27	53	2
Speaker	5.14	30.78	42.85	-60.97	19	3
Speaker	7.8	67.45	26.78	-70.37	41	3
Camera	16.41	61.85	37.3	-64.95	31	2
Camera	8.25	45.65	33.97	-63.99	53	2
Light	11.52	85.55	31.22	-37.32	9	4
Speaker	17.14	77.2	46.06	-66.52	17	3
Light	12.68	9.95	24.38	-59.77	53	4
Light	11.15	18.92	38.76	-29.69	27	4
Light	11.96	45.69	38.27	-39.66	19	4
Speaker	13.56	57.49	36.07	-50.26	44	3
Plug	12.1	79.8	27.06	-60.68	12	0
Speaker	13.35	62.08	49.95	-54.55	3	3
Speaker	15.93	46.52	34.93	-61.31	34	3
Sensor	7.69	54.76	30.36	-56.34	44	1
Camera	13.05	43.83	66.77	-54.47	13	2
Sensor	13.62	44.63	37.5	-42.24	3	1
Camera	9.61	80.17	33.29	-60.35	9	2
Light	8.68	50.22	37.71	-41.06	40	4
Light	9.47	32.94	40.92	-63.12	53	4
Camera	9.52	77.39	43.92	-30.65	16	2
Light	12.6	38.49	33.89	-42.14	17	4
Sensor	13.51	112.69	20.7	-58.76	49	1
Plug	12.79	54.825	31.41	-80.09	14	0
Light	17.37	47.96	23.41	-63.24	7	4
Sensor	13.32	7.8	25.91	-61.13	21	1
Camera	17.12	89.75	37.74	-63.56	59	2
Camera	8.68	75.68	45.5	-48.33	10	2
Light	11.4	63.03	46.82	-56.26	48	4
Plug	13.24	57.45	41.02	-55.23	45	0
Light	17.66	16.41	30.75	-36.9	25	4
Plug	13.93	41.77	25.68	-52.61	41	0
Light	2.59	52.84	36.64	-64.39	6	4
Plug	12.96	65.58	41.17	-36.52	40	0
Light	8.94	60.03	43.7	-59.25	48	4
Sensor	1.0	38.97	28.66	-58.28	24	1
Light	10.11	83.49	38.86	-59.09	8	4
Sensor	9.16	104.48	37.69	-44.71	49	1
Speaker	9.97	54.0	52.3	-50.27	53	3
Plug	14.41	50.79	32.13	-46.21	35	0
Light	16.67	115.88	30.62	-50.04	24	4
Camera	9.17	45.2	45.49	-58.6	58	2
Plug	10.7	54.825	37.08	-65.84	47	0
Plug	10.92	71.48	46.25	-40.58	37	0
Plug	13.6	78.15	31.53	-76.76	7	0
Light	12.54	69.32	54.79	-59.44	53	4
Camera	8.72	63.89	28.61	-52.07	12	2
Plug	13.43	45.76	36.45	-63.41	59	0
Sensor	16.03	45.52	44.94	-80.08	60	1
Plug	6.81	42.98	24.18	-53.88	41	0
Speaker	13.03	24.75	30.51	-72.9	13	3
Plug	6.85	49.34	41.48	-41.54	53	0
Camera	14.76	66.23	26.24	-62.27	30	2
Sensor	17.38	39.86	46.46	-57.36	18	1
Camera	16.5	58.75	33.7	-44.59	1	2
Light	8.92	70.73	40.0	-45.26	17	4
Speaker	12.79	44.87	36.15	-69.52	13	3
Light	6.64	54.46	43.88	-67.76	25	4
Speaker	17.45	41.16	36.05	-66.01	33	3
Light	18.26	75.46	44.53	-37.66	47	4
Light	8.23	25.38	25.88	-57.81	11	4
Light	11.58	25.9	48.56	-54.11	24	4
Plug	11.47	49.15	57.03	-49.49	39	0
Sensor	15.66	34.39	26.05	-59.2	19	1
Speaker	6.68	79.75	44.37	-51.09	44	3
Light	17.14	60.47	41.26	-56.51	55	4
Camera	12.74	74.87	33.34	-52.37	36	2
Plug	17.05	56.49	48.11	-69.72	5	0
Camera	7.35	54.17	40.06	-54.33	23	2
Plug	10.13	40.66	42.71	-66.95	3	0
Plug	9.85	52.48	36.87	-38.3	2	0
Camera	7.55	69.92	43.59	-76.53	53	2
Speaker	12.11	53.21	46.43	-57.89	24	3
Sensor	15.82	36.45	29.04	-47.24	41	1
Speaker	11.16	83.11	32.96	-49.37	39	3
Speaker	5.7	56.6	35.37	-52.12	52	3
Plug	14.8	85.56	41.28	-80.09	41	0
Sensor	18.37	25.06	33.04	-62.47	3	1
Plug	13.0	99.97	15.2	-33.47	17	0
Plug	12.53	68.63	18.78	-65.54	40	0
Light	11.08	77.45	34.94	-77.96	15	4
Speaker	1.0	76.53	38.5	-48.99	28	3
Speaker	12.52	74.27	34.09	-65.05	17	3
Light	7.87	28.89	47.37	-25.81	37	4
Light	11.91	58.08	49.13	-64.42	30	4
Camera	6.63	41.93	25.97	-74.03	56	2
Plug	12.29	56.55	55.35	-42.16	15	0
Light	8.64	53.62	28.94	-61.39	59	4
Speaker	17.06	73.24	23.76	-47.19	40	3
Plug	14.11	41.1	35.56	-57.7	59	0
Speaker	10.27	34.18	52.94	-68.39	38	3
Sensor	5.81	73.03	37.81	-50.63	53	1
Speaker	11.91	60.59	37.69	-48.77	50	3
Camera	16.7	79.6	44.09	-57.1	26	2
Light	15.32	40.43	36.96	-65.29	49	4
Plug	4.72	51.98	35.07	-61.35	26	0
Sensor	8.8	39.84	41.78	-43.7	25	1
Speaker	11.43	52.98	42.87	-52.71	18	3
Camera	13.18	19.34	54.62	-52.76	15	2
Plug	13.05	23.33	43.63	-50.7	39	0
Plug	17.8	63.99	47.95	-63.63	59	0
Camera	13.89	52.63	35.47	-59.48	18	2
Plug	11.65	46.05	47.4	-63.2	20	0
Light	8.23	56.14	34.09	-56.49	28	4
Plug	11.42	37.09	47.28	-74.21	30	0
Light	13.85	52.32	52.44	-74.68	47	4
Light	12.94	70.64	43.31	-55.49	45	4
Sensor	2.38	86.79	44.38	-79.1	25	1
Plug	8.92	43.87	36.24	-71.86	39	0
Plug	3.45	49.27	47.3	-59.46	5	0
Light	11.8	115.83	39.31	-57.92	55	4
Light	14.12	54.13	45.64	-56.06	60	4
Plug	1.0	19.0	52.7	-43.09	41	0
Light	15.27	74.26	39.77	-59.85	40	4
Speaker	20.75	53.17	24.45	-47.45	22	3
Sensor	13.48	80.08	42.46	-52.33	23	1
Light	14.16	59.02	45.46	-50.08	21	4
Camera	12.33	67.75	30.01	-67.2	57	2
Light	10.93	66.5	53.33	-66.45	3	4
Sensor	12.98	82.97	18.51	-67.68	3	1
Sensor	12.15	68.75	36.1	-49.44	23	1
Light	7.86	5.0	40.41	-56.66	52	4
Camera	15.76	29.06	32.35	-41.38	33	2
Camera	7.4	79.54	31.15	-61.02	22	2
Light	9.13	45.49	59.57	-42.32	26	4
Light	17.6	76.95	26.69	-40.35	40	4
Plug	13.86	16.22	30.82	-45.72	19	0
Camera	4.54	14.03	42.09	-62.29	32	2
Light	12.76	50.34	33.59	-69.09	37	4
Plug	15.39	74.62	37.51	-43.39	52	0
Plug	13.15	54.825	32.68	-77.51	21	0
Sensor	17.74	69.56	36.66	-55.41	42	1
Light	12.51	66.31	22.41	-53.7	55	4
Light	9.36	8.85	43.89	-57.57	41	4
Speaker	16.12	65.87	29.03	-74.21	25	3
Light	13.08	27.69	46.7	-56.83	20	4
Sensor	13.36	38.2	46.13	-66.97	6	1
Camera	9.7	40.34	32.12	-67.68	10	2
Sensor	17.91	59.43	53.78	-81.71	33	1
Light	19.42	16.84	32.97	-38.97	17	4
Light	4.24	61.66	39.2	-43.42	17	4
Camera	9.47	67.29	33.53	-53.05	29	2
Camera	7.63	42.22	37.39	-49.16	41	2
Sensor	8.42	34.16	33.65	-76.44	21	1
Light	11.25	91.82	46.0	-59.6	43	4
Camera	9.8	10.3	41.95	-54.79	42	2
Plug	18.2	32.76	45.15	-81.35	19	0
Speaker	11.58	40.19	39.15	-80.06	34	3
Light	6.77	50.13	17.28	-51.62	46	4
Camera	10.71	42.77	43.38	-78.95	43	2
Light	10.05	84.19	28.72	-64.19	13	4
Plug	9.34	22.67	24.36	-57.06	24	0
Plug	14.54	79.9	25.38	-46.51	16	0
Plug	11.96	89.08	30.01	-49.52	57	0
Plug	6.54	44.02	38.23	-48.69	48	0
Speaker	12.31	88.33	35.28	-50.97	30	3
Sensor	18.77	59.76	36.09	-50.28	34	1
Camera	14.95	71.8	44.07	-46.09	29	2
Speaker	12.98	63.37	27.3	-58.01	22	3
Speaker	16.05	26.64	42.54	-52.39	28	3
Plug	12.59	47.16	23.94	-68.88	29	0
Light	9.76	64.01	51.82	-61.2	20	4
Speaker	7.54	54.7	31.39	-65.03	42	3
Camera	11.96	14.81	32.29	-52.73	33	2
Plug	4.05	15.32	28.72	-61.92	17	0
Plug	13.84	50.3	50.01	-63.8	38	0
Speaker	3.17	65.86	39.94	-63.15	33	3
Light	9.06	84.92	46.95	-46.25	49	4
Plug	13.0	75.65	31.23	-67.84	32	0
Light	11.03	67.35	20.26	-56.26	24	4
Camera	10.63	71.31	45.76	-43.97	11	2
Plug	16.39	23.61	23.39	-48.32	9	0
Camera	15.66	12.29	48.11	-68.05	55	2
Speaker	8.21	47.03	45.72	-51.39	30	3
Sensor	13.15	17.6	44.65	-71.35	49	1
Sensor	7.34	65.19	35.47	-43.01	60	1
Speaker	7.84	54.77	37.67	-30.94	10	3
Sensor	9.44	50.08	43.35	-60.19	4	1
Light	10.59	61.5	43.74	-74.27	3	4
Sensor	14.19	73.48	27.56	-90.0	1	1
Speaker	11.96	54.28	40.86	-48.61	37	3
Plug	6.98	47.69	20.17	-56.22	59	0
Plug	15.11	45.34	31.97	-44.09	38	0
Speaker	19.8	88.49	32.02	-56.94	29	3
Light	14.12	37.13	34.79	-53.14	2	4
Light	20.43	61.58	15.3	-77.65	37	4
Light	8.89	99.88	50.13	-85.48	27	4
Plug	10.88	15.42	27.15	-76.63	19	0
Plug	8.75	42.23	42.74	-71.91	50	0
Sensor	7.34	72.84	33.54	-72.16	41	1
Plug	18.66	47.85	51.01	-72.96	28	0
Light	5.28	54.825	36.19	-65.73	55	4
Light	11.47	54.76	41.66	-69.47	30	4
Sensor	11.31	39.78	41.02	-57.81	3	1
Speaker	10.39	60.16	39.3	-63.66	24	3
Light	11.14	64.43	50.27	-64.22	35	4
Sensor	11.22	68.79	38.32	-46.19	45	1
Sensor	9.4	71.42	40.72	-45.91	25	1
Plug	8.1	32.37	19.36	-52.83	21	0
Plug	8.41	70.8	38.8	-54.85	1	0
Speaker	5.51	59.58	26.76	-87.73	43	3
Camera	8.35	43.25	30.58	-59.75	5	2
Plug	16.84	78.03	26.11	-63.31	32	0
Plug	11.83	93.13	41.8	-44.98	9	0
Sensor	9.07	49.44	35.94	-63.6	57	1
Plug	9.61	33.51	40.51	-52.65	40	0
Speaker	14.22	51.36	40.12	-77.0	15	3
Light	6.22	76.98	35.64	-43.86	48	4
Sensor	12.47	29.62	49.59	-61.93	23	1
Plug	9.44	88.25	25.77	-72.09	35	0
Plug	11.96	47.59	33.33	-52.52	48	0
Light	13.24	69.93	39.32	-48.95	57	4
Plug	18.59	50.12	20.93	-62.13	23	0
Speaker	11.96	43.6	36.06	-62.84	19	3
Plug	9.51	61.42	40.38	-63.47	6	0
Plug	16.24	5.0	25.08	-52.18	16	0
Light	10.36	5.96	48.82	-36.42	17	4
Speaker	20.95	22.4	42.95	-62.7	7	3
Light	11.23	96.57	42.8	-66.66	22	4
Camera	1.0	97.5	35.48	-34.75	26	2
Sensor	15.4	46.28	25.28	-59.7	28	1
Plug	15.39	43.64	37.43	-56.74	34	0
Light	17.31	79.64	44.64	-56.38	15	4
Camera	13.68	59.72	40.0	-76.7	48	2
Sensor	10.42	33.37	44.36	-52.9	46	1
Plug	11.02	69.57	41.94	-49.59	59	0
Camera	17.74	73.54	33.38	-69.15	47	2
Plug	4.95	77.98	33.46	-62.73	3	0
Camera	11.86	65.81	37.66	-48.94	30	2
Camera	14.88	27.59	51.58	-51.89	32	2
Light	13.55	86.65	46.68	-52.71	42	4
Speaker	9.65	34.29	44.82	-83.52	39	3
Sensor	17.25	39.65	24.81	-62.52	17	1
Sensor	4.93	34.66	31.67	-56.55	36	1
Camera	11.68	28.05	45.83	-43.21	15	2
Plug	11.49	82.68	43.05	-69.39	35	0
Speaker	12.19	71.56	30.95	-48.71	52	3
Camera	11.96	18.01	40.84	-57.45	15	2
Camera	6.0	37.12	33.89	-61.07	24	2
Light	12.53	66.84	41.35	-47.5	60	4
Sensor	14.38	41.69	33.77	-35.95	35	1
Plug	10.97	25.26	31.08	-61.14	45	0
Camera	15.16	59.54	18.93	-57.39	12	2
Plug	6.26	58.09	55.22	-47.15	39	0
Light	10.01	54.825	25.89	-59.73	19	4
Light	20.3	39.37	36.77	-42.76	9	4
Sensor	6.08	23.42	31.62	-54.87	48	1
Camera	17.82	89.77	37.48	-43.86	24	2
Plug	8.48	59.04	33.63	-71.35	52	0
Camera	7.24	55.44	29.35	-45.53	32	2
Light	9.62	67.17	31.53	-52.21	54	4
Plug	5.28	50.95	33.79	-54.61	42	0
Speaker	6.71	50.99	37.46	-41.9	41	3
Camera	8.93	57.58	44.1	-48.0	17	2
Sensor	16.94	51.75	37.18	-49.77	39	1
Light	10.63	66.44	44.16	-68.71	14	4
Plug	22.18	39.0	33.62	-47.48	39	0
Sensor	16.34	83.21	40.37	-45.53	25	1
Camera	5.17	45.75	54.11	-30.01	24	2
Sensor	8.85	43.85	41.69	-44.76	39	1
Speaker	12.36	96.37	36.79	-47.73	51	3
Sensor	11.21	61.18	56.95	-48.9	43	1
Camera	11.57	89.68	40.58	-47.27	47	2
Plug	9.69	8.1	33.09	-57.9	45	0
Sensor	17.25	71.85	35.16	-56.21	51	1
Plug	8.65	17.81	30.92	-67.06	4	0
Speaker	7.54	33.28	37.24	-34.36	23	3
Light	15.21	27.82	33.95	-59.19	60	4
Sensor	12.66	55.74	27.29	-51.27	27	1
Light	11.96	43.86	39.87	-70.83	18	4
Speaker	13.44	45.76	37.69	-65.5	30	3
